Town;Area (Km²);Latitude;Longitude;NUTS_2;NUTS_3;InsPowMW_20150131;InsPowMW_20150228;InsPowMW_20150331;InsPowMW_20150430;InsPowMW_20150531;InsPowMW_20150630;InsPowMW_20150731;InsPowMW_20150831;InsPowMW_20150930;InsPowMW_20151031;InsPowMW_20151130;InsPowMW_20151231;InsPowMW_20160131;InsPowMW_20160229;InsPowMW_20160331;InsPowMW_20160430;InsPowMW_20160531;InsPowMW_20160630;InsPowMW_20160731;InsPowMW_20160831;InsPowMW_20160930;InsPowMW_20161031;InsPowMW_20161130;InsPowMW_20161231;InsPowMW_20170131;InsPowMW_20170228;InsPowMW_20170331;InsPowMW_20170430;InsPowMW_20170531;InsPowMW_20170630;InsPowMW_20170731;InsPowMW_20170831;InsPowMW_20170930;InsPowMW_20171031;InsPowMW_20171130;InsPowMW_20171231;InsPowMW_20180131;InsPowMW_20180228;InsPowMW_20180331;InsPowMW_20180430;InsPowMW_20180531;InsPowMW_20180630;InsPowMW_20180731;InsPowMW_20180831;InsPowMW_20180930;InsPowMW_20181031;InsPowMW_20181130;InsPowMW_20181231;InsPowMW_20190131;InsPowMW_20190228;InsPowMW_20190331;InsPowMW_20190430;InsPowMW_20190531;InsPowMW_20190630;InsPowMW_20190731;InsPowMW_20190831;InsPowMW_20190930;InsPowMW_20191031;InsPowMW_20191130;InsPowMW_20191231;InsPowMW_20200131;InsPowMW_20200229;InsPowMW_20200331;InsPowMW_20200430;InsPowMW_20200531;InsPowMW_20200630;InsPowMW_20200731;InsPowMW_20200831;InsPowMW_20200930;InsPowMW_20201031;InsPowMW_20201130;InsPowMW_20201231
Abadín;196.0;43.37;-7.49;ES11;ES112;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043
Abadiño;36.0;43.13;-2.62;ES21;ES213;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095
Abaltzisketa;11.2;43.04;-2.11;ES21;ES212;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008
Abánades;36.1;40.89;-2.47;ES42;ES424;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334;1.334
Abanilla;235.6;38.25;-1.05;ES62;ES620;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612;12.612
Abanto y Ciérvana-Abanto Zierbena;16.2;43.31;-3.09;ES21;ES213;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092;0.092
Abarán;115.0;38.25;-1.32;ES62;ES620;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393;0.393
Abárzuza;23.0;42.75;-2.04;ES22;ES220;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
Abejar;23.4;41.80;-2.79;ES41;ES417;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1
Abengibre;30.8;39.21;-1.54;ES42;ES421;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578;0.578
