Code;Town;Lat;Lon;ComissDate;DecomissDate;InsCapKW;NUTS3nameSP;NUTS2nameSP
RE-00-07;Camariñas;43.16;-9.15;1995-03-14;NaN;5460.00;ACoruna;Galicia
RE-00-08;Mañón;43.65;-7.73;1998-04-03;NaN;24000.00;ACoruna;Galicia
RE-00-31;Cariño;43.73;-7.90;1999-04-27;NaN;14850.00;ACoruna;Galicia
RE-02-14;Laracha (A);43.23;-8.55;2002-03-22;NaN;660.00;ACoruna;Galicia
RE-04-12 (RE-03-05);Muros;42.80;-9.03;2003-03-02;NaN;44600.00;ACoruna;Galicia
RE-04-15 (RE-00-72);Ortigueira;43.65;-7.83;2000-09-06;NaN;24420.00;ACoruna;Galicia
RE-04-16 (RE-02-02);Mañón;43.65;-7.73;2002-01-16;NaN;18480.00;ACoruna;Galicia
RE-04-25 (RE-01-12);Lousame;42.77;-8.84;2001-04-26;NaN;30390.00;ACoruna;Galicia
RE-04-39;Mazaricos;42.93;-8.99;2004-12-07;NaN;33600.00;ACoruna;Galicia
RE-04-46;Negreira;42.91;-8.82;2007-12-19;NaN;7200.00;ACoruna;Galicia
RE-04-46;Negreira;42.91;-8.82;2004-06-30;NaN;36000.00;ACoruna;Galicia
RE-05-100;Somozas (As);43.52;-7.92;2000-08-09;NaN;14400.00;ACoruna;Galicia
RE-05-101;Somozas (As);43.52;-7.92;2000-08-09;NaN;11400.00;ACoruna;Galicia
RE-05-102;Somozas (As);43.52;-7.92;2000-08-09;NaN;22200.00;ACoruna;Galicia
RE-05-119;Cabana de Bergantiños;43.19;-8.90;2005-08-17;NaN;16900.00;ACoruna;Galicia
RE-05-127;Aranga;43.22;-8.01;2005-09-26;NaN;36000.00;ACoruna;Galicia
RE-05-136;Padrón;42.76;-8.63;2005-07-29;NaN;1700.00;ACoruna;Galicia
RE-05-143;Vimianzo;43.10;-9.04;2005-08-07;NaN;3000.00;ACoruna;Galicia
RE-05-18;Camariñas;43.16;-9.15;2003-06-19;NaN;33800.00;ACoruna;Galicia
RE-05-22;Camariñas;43.16;-9.15;1995-03-14;NaN;1200.00;ACoruna;Galicia
RE-05-23;Toques;42.97;-7.95;2000-04-14;NaN;18000.00;ACoruna;Galicia
RE-05-24;Camariñas;43.16;-9.15;2003-09-09;NaN;16900.00;ACoruna;Galicia
RE-05-25;Ponteceso;43.26;-8.88;2000-12-06;NaN;18300.00;ACoruna;Galicia
RE-05-26;Zas;43.09;-8.93;2019-03-12;NaN;24000.00;ACoruna;Galicia
RE-05-27;Arteixo;43.30;-8.51;2004-02-06;NaN;850.00;ACoruna;Galicia
RE-05-57;Malpica de Bergantiños;43.30;-8.81;1997-05-22;NaN;16450.00;ACoruna;Galicia
RE-05-58;Somozas (As);43.52;-7.92;2004-03-03;NaN;10500.00;ACoruna;Galicia
RE-05-60;Monfero;43.35;-8.00;2001-01-29;NaN;17560.00;ACoruna;Galicia
RE-05-64;Mazaricos;42.93;-8.99;2000-06-03;NaN;24600.00;ACoruna;Galicia
RE-05-65;Mazaricos;42.93;-8.99;2000-02-23;NaN;19200.00;ACoruna;Galicia
RE-05-66;Mazaricos;42.93;-8.99;2001-07-26;NaN;21600.00;ACoruna;Galicia
RE-05-67;Mazaricos;42.93;-8.99;2002-09-25;NaN;7800.00;ACoruna;Galicia
RE-05-68;Dumbría;42.99;-9.10;2002-07-15;NaN;34800.00;ACoruna;Galicia
RE-05-75;Pontes de García Rodríguez (As);43.46;-7.87;2002-04-25;NaN;24420.00;ACoruna;Galicia
RE-05-76;Pontes de García Rodríguez (As);43.46;-7.87;2002-04-25;NaN;24420.00;ACoruna;Galicia
RE-05-77;Ortigueira;43.65;-7.83;2002-07-26;NaN;23100.00;ACoruna;Galicia
RE-05-78;Ortigueira;43.65;-7.83;2002-07-26;NaN;24420.00;ACoruna;Galicia
RE-05-86;Pontes de García Rodríguez (As);43.46;-7.87;2004-05-11;NaN;24420.00;ACoruna;Galicia
RE-05-91;Pobra do Caramiñal (A);42.63;-8.95;1999-04-27;NaN;9240.00;ACoruna;Galicia
RE-05-97;Cedeira;43.67;-8.00;1999-08-31;NaN;10200.00;ACoruna;Galicia
RE-05-97;Cedeira;43.67;-8.00;1999-12-22;NaN;22800.00;ACoruna;Galicia
